Problema	n	K	m	 N gen	z0	z	Intial S	S		CPU

max_div_15_2.txt	15	2	2	25	11.8592	11.8592	{7, 9}	{7, 9}	1572

max_div_15_2.txt	15	2	3	273	27.3727	27.3727	{9, 7, 1}	{1, 7, 9}	15933

max_div_15_2.txt	15	2	4	1034	49.8268	49.8268	{6, 9, 7, 1}	{1, 6, 7, 9}	59118

max_div_15_2.txt	15	2	5	2391	79.1295	79.1295	{7, 9, 1, 6, 4}	{1, 4, 6, 7, 9}	120343

max_div_20_2.txt	20	2	2	19	8.51033	8.51033	{18, 19}	{18, 19}	3482

max_div_20_2.txt	20	2	3	332	21.9961	21.9961	{9, 18, 19}	{9, 18, 19}	44228

max_div_20_2.txt	20	2	4	1534	40.0023	40.0023	{3, 9, 19, 2}	{2, 3, 9, 19}	186969

max_div_20_2.txt	20	2	5	4744	63.6517	63.6517	{9, 18, 19, 14, 2}	{2, 9, 14, 18, 19}	586876

max_div_30_2.txt	30	3	2	49	11.6571	11.6571	{28, 9}	{9, 28}	34846

max_div_30_2.txt	30	3	3	401	28.9443	28.9443	{2, 28, 9}	{2, 9, 28}	226276

max_div_30_2.txt	30	3	4	3519	52.7712	52.7712	{9, 28, 2, 11}	{2, 9, 11, 28}	2128694

max_div_30_2.txt	30	3	5	24912	80.9102	80.9102	{13, 11, 28, 2, 9}	{2, 9, 11, 13, 28}	13203980

max_div_15_3.txt	15	3	2	20	13.2732	13.2732	{12, 9}	{9, 12}	1195

max_div_15_3.txt	15	3	3	165	30.9867	31.8685	{4, 12, 9}	{5, 7, 12}	9410

max_div_15_3.txt	15	3	4	521	59.7638	59.7638	{12, 9, 5, 11}	{5, 9, 11, 12}	28869

max_div_15_3.txt	15	3	5	1010	96.0858	96.0858	{9, 12, 4, 5, 14}	{4, 5, 9, 12, 14}	54695

max_div_20_3.txt	20	3	2	29	11.8003	11.8003	{13, 14}	{13, 14}	4220

max_div_20_3.txt	20	3	3	210	30.8727	30.8727	{14, 13, 8}	{8, 13, 14}	28871

max_div_20_3.txt	20	3	4	995	56.6903	56.6903	{3, 17, 14, 13}	{3, 13, 14, 17}	144163

max_div_20_3.txt	20	3	5	2349	92.8298	92.8298	{13, 8, 17, 3, 14}	{3, 8, 13, 14, 17}	291448

max_div_30_3.txt	30	3	2	62	13.0737	13.0737	{7, 17}	{7, 17}	36788

max_div_30_3.txt	30	3	3	519	34.2905	34.2905	{6, 24, 17}	{6, 17, 24}	297443

max_div_30_3.txt	30	3	4	3392	63.5184	63.702	{14, 24, 7, 17}	{6, 14, 17, 24}	1964221

max_div_30_3.txt	30	3	5	20584	99.5088	99.592	{7, 17, 24, 14, 15}	{6, 14, 15, 17, 24}	10470692
